Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Transformer.REG1A,    493.147,    64.61,    47.38,    2914.85,    993.407, 0, 0, 3, 2.4 
Line.L115,    472.476,   118.12,    78.75,    2914.85,    993.388, 1, 77, 3, 2.4 
Line.L1,     8.9437,     2.24,     1.49,    20.0036,    10.0023, 1, 1, 1, 2.4 
Line.L2,    46.5807,    11.65,     7.76,    103.718,    51.9415, 0, 3, 1, 2.4 
Line.L3,    468.016,   117.00,    78.00,    2769.12,    905.485, 1, 72, 3, 2.4 
Line.L4,    17.9935,     4.50,     3.00,     40.016,     20.013, 1, 1, 1, 2.4 
Line.L5,    28.5874,     7.15,     4.76,    63.5671,    31.8133, 1, 2, 1, 2.4 
Line.L6,    19.2707,     4.82,     3.21,    42.8046,    21.4096, 1, 1, 1, 2.4 
Line.L7,    463.533,   115.88,    77.26,    2750.93,    886.188, 0, 71, 3, 2.4 
Line.L8,    8.96915,     2.24,     1.49,    20.0047,     10.003, 1, 1, 1, 2.4 
Line.L9,    23.1389,     5.78,     3.86,    50.9672,    25.4998, 1, 3, 1, 2.4 
Line.L10,    440.613,   110.15,    73.44,    2674.54,    841.253, 0, 67, 3, 2.4 
Line.L11,    14.1426,     3.54,     2.36,    30.9373,    15.4749, 0, 2, 1, 2.4 
Line.L12,     46.397,    11.60,     7.73,    102.165,     51.128, 1, 3, 1, 2.4 
Line.L13,    440.613,   110.15,    73.44,    2564.74,    776.824, 0, 64, 3, 2.4 
Line.L14,    9.48468,     2.37,     1.58,     20.733,    10.3675, 1, 1, 1, 2.4 
Line.L15,    4.65827,     1.16,     0.78,    10.1832,      5.091, 1, 1, 1, 2.4 
Line.L16,    18.2007,     4.55,     3.03,    40.0306,    20.0249, 1, 1, 1, 2.4 
Line.L17,    9.09593,     2.27,     1.52,    20.0071,    10.0046, 1, 1, 1, 2.4 
Line.L18,    27.8921,     6.97,     4.65,    60.2948,    30.1727, 1, 2, 1, 2.4 
Line.L19,    55.3303,    13.83,     9.22,    263.661,    132.275, 0, 8, 3, 2.4 
Line.L20,    18.6336,     4.66,     3.11,    40.2467,    20.1321, 1, 1, 1, 2.4 
Line.L21,    19.1874,     4.80,     3.20,    42.4617,     21.246, 1, 1, 1, 2.4 
Line.L22,    55.3307,    13.83,     9.22,    221.094,    110.852, 0, 7, 3, 2.4 
Line.L23,    18.4378,     4.61,     3.07,     40.046,    20.0375, 1, 1, 1, 2.4 
Line.L24,    46.6893,    11.67,     7.78,    180.955,    90.6499, 0, 6, 3, 2.4 
Line.L25,     18.633,     4.66,     3.11,    80.2665,    40.1849, 0, 3, 2, 2.4 
Line.L26,    28.0566,     7.01,     4.68,    100.619,    50.3449, 1, 3, 3, 2.4 
Line.L27,    18.6332,     4.66,     3.11,    40.2241,    20.1352, 0, 1, 2, 2.4 
Line.L28,    18.5648,     4.64,     3.09,    40.0252,    20.0197, 1, 2, 1, 2.4 
Line.L29,    18.6334,     4.66,     3.11,    40.2161,    20.1216, 1, 1, 1, 2.4 
Line.L30,    18.7399,     4.68,     3.12,    80.4846,    40.2604, 1, 2, 3, 2.4 
Line.L31,    18.4465,     4.61,     3.07,    40.0095,    20.0095, 1, 1, 3, 2.4 
Line.L32, 0.000573367,     0.00,     0.00, 3.12106E-011, -0.00389166, 0, 0, 3, 2.4 
Line.L33,    9.28408,     2.32,     1.55,    20.0062,    10.0042, 1, 1, 1, 2.4 
Line.L34,    27.2966,     6.82,     4.55,    60.0562,     30.045, 0, 2, 1, 2.4 
Line.L35,    18.6314,     4.66,     3.11,    80.6096,    40.3603, 0, 3, 2, 2.4 
Line.L36,    338.877,    84.72,    56.48,    2094.01,    509.693, 0, 50, 3, 2.4 
Line.L37,    18.6323,     4.66,     3.11,    40.0199,    20.0181, 1, 1, 1, 2.4 
Line.L38,    18.3968,     4.60,     3.07,    40.5579,    20.2865, 1, 2, 1, 2.4 
Line.L39,       9.08,     2.27,     1.51,    20.0071,    10.0045, 1, 1, 1, 2.4 
Line.L40,    9.23509,     2.31,     1.54,    20.0066,    10.0044, 1, 1, 1, 2.4 
