Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    493.147,   160.09,    347.847,    41.74,    441.327,   -78.04,          0,     0.00,    117.204,  -164.06,    493.147,   -19.91,    347.847,  -138.26,    441.327,   101.96,          0,     0.00,    117.204,    15.94
Transformer.REG1A,    493.147,   -19.91,    347.847,  -138.26,    441.327,   101.96,    117.204,  -164.06, 8.84833E-009,    57.36,    472.476,   160.09,    333.267,    41.74,    422.828,   -78.04,    112.291,    15.94, 5.35131E-009,   -44.12
Line.L115,    472.476,   -19.91,    333.267,  -138.26,    422.828,   101.96,          0,     0.00,    112.291,    15.94,    472.476,   160.09,    333.267,    41.74,    422.828,   -78.04,          0,     0.00,    112.292,  -164.06
Line.L1,     8.9437,  -146.75,          0,     0.00,          0,     0.00,          0,     0.00,     8.9437,  -146.75,    8.94384,    33.24,          0,     0.00,          0,     0.00,          0,     0.00,    8.94384,    33.24
Line.L2,    46.5807,    93.11,          0,     0.00,          0,     0.00,          0,     0.00,    46.5807,    93.11,    46.5809,   -86.89,          0,     0.00,          0,     0.00,          0,     0.00,    46.5809,   -86.89
Line.L3,    468.016,   -19.85,    324.424,  -138.02,    376.869,   103.04,          0,     0.00,     114.31,    -4.38,    468.017,   160.15,    324.425,    41.98,     376.87,   -76.96,          0,     0.00,     114.31,   175.62
Line.L4,    17.9935,    93.12,          0,     0.00,          0,     0.00,          0,     0.00,    17.9935,    93.12,    17.9937,   -86.88,          0,     0.00,          0,     0.00,          0,     0.00,    17.9937,   -86.88
Line.L5,    28.5874,    93.11,          0,     0.00,          0,     0.00,          0,     0.00,    28.5874,    93.11,    28.5876,   -86.89,          0,     0.00,          0,     0.00,          0,     0.00,    28.5876,   -86.89
Line.L6,    19.2707,    93.10,          0,     0.00,          0,     0.00,          0,     0.00,    19.2707,    93.10,    19.2709,   -86.90,          0,     0.00,          0,     0.00,          0,     0.00,    19.2709,   -86.90
Line.L7,    463.533,   -19.77,    324.425,  -138.02,     376.87,   103.04,          0,     0.00,    110.158,    -3.47,    463.534,   160.23,    324.425,    41.98,     376.87,   -76.96,          0,     0.00,    110.158,   176.53
Line.L8,    8.96915,  -147.02,          0,     0.00,          0,     0.00,          0,     0.00,    8.96915,  -147.02,    8.96933,    32.98,          0,     0.00,          0,     0.00,          0,     0.00,    8.96933,    32.98
Line.L9,    23.1389,   -27.45,          0,     0.00,          0,     0.00,          0,     0.00,    23.1389,   -27.45,    23.1391,   152.55,          0,     0.00,          0,     0.00,          0,     0.00,    23.1391,   152.55
Line.L10,    440.613,   -19.37,    315.569,  -137.77,     376.87,   103.04,          0,     0.00,     97.354,     5.24,    440.613,   160.63,    315.569,    42.23,     376.87,   -76.96,          0,     0.00,     97.354,  -174.76
Line.L11,    14.1426,   -27.46,          0,     0.00,          0,     0.00,          0,     0.00,    14.1426,   -27.46,    14.1429,   152.54,          0,     0.00,          0,     0.00,          0,     0.00,    14.1429,   152.54
