Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,      66321,    0.0,   0.99888, 2,    66395.3, -120.0,         1, 3,    66354.4,  119.9,   0.99938
"149", 4.16, 1,    2502.46,  -30.0,    1.0419, 2,    2505.38, -150.0,    1.0431, 3,    2506.64,   90.0,    1.0437
"01", 4.16, 1,    2255.15,  -30.8,   0.93895, 2,    2587.19, -151.7,    1.0772, 3,    2536.22,   91.7,     1.056
"02", 4.16, 2,    2587.19, -151.7,    1.0772, 0, 0, 0, 0, 0, 0, 0, 0
"08", 4.16, 1,    1946.65,  -31.9,   0.81051, 2,    2692.57, -153.7,    1.1211, 3,    2576.45,   93.8,    1.0727
"13", 4.16, 1,    1762.05,  -32.8,   0.73365, 2,     2757.3, -154.9,     1.148, 3,    2602.26,   95.1,    1.0835
"101", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"102", 4.16, 3,    2937.86,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"105", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"103", 4.16, 3,    2937.86,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"104", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"106", 4.16, 2,    3190.18, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"108", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"107", 4.16, 2,    3190.18, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"109", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"300", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"110", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"9R", 4.16, 1,    1934.49,  -31.9,   0.80544, 0, 0, 0, 0, 0, 0, 0, 0
"14", 4.16, 1,    1934.49,  -31.9,   0.80544, 0, 0, 0, 0, 0, 0, 0, 0
"111", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"112", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"113", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"114", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"135", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.31, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"35", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"152", 4.16, 1,     1522.6,  -34.5,   0.63395, 2,    2832.38, -156.4,    1.1793, 3,    2650.16,   97.2,    1.1034
"52", 4.16, 1,    1278.97,  -36.6,   0.53251, 2,    2922.09, -157.8,    1.2166, 3,    2689.05,   98.7,    1.1196
"160R", 4.16, 1,    485.363,  -61.8,   0.20208, 2,    3190.17, -161.5,    1.3283, 3,    2937.85,  104.3,    1.2232
"67", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"197", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"34", 4.16, 3,    2602.26,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"18", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.31, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"10", 4.16, 1,    1934.49,  -31.9,   0.80544, 0, 0, 0, 0, 0, 0, 0, 0
"15", 4.16, 3,    2602.26,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"16", 4.16, 3,    2602.26,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"17", 4.16, 3,    2602.26,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"19", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"21", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.31, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"03", 4.16, 3,    2536.22,   91.7,     1.056, 0, 0, 0, 0, 0, 0, 0, 0
"20", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"22", 4.16, 2,    2757.31, -154.9,     1.148, 0, 0, 0, 0, 0, 0, 0, 0
"23", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"24", 4.16, 3,    2602.27,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"25", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"25R", 4.16, 1,    1762.06,  -32.8,   0.73365, 3,    2586.01,   95.1,    1.0767, 0, 0, 0, 0
"26", 4.16, 1,    1762.06,  -32.8,   0.73365, 3,          0,    0.0,         0, 0, 0, 0, 0
"28", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"27", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"31", 115, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"33", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"07", 4.16, 1,    2069.95,  -31.4,   0.86184, 2,    2650.02, -152.9,    1.1034, 3,    2559.94,   93.0,    1.0659
"29", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"30", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"250", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"32", 115, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"36", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,          0,    0.0,         0, 0, 0, 0, 0
"40", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"37", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"38", 115, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"39", 115, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"04", 4.16, 3,    2536.22,   91.7,     1.056, 0, 0, 0, 0, 0, 0, 0, 0
"41", 4.16, 3,    2602.27,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"42", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"43", 4.16, 2,    2757.32, -154.9,     1.148, 0, 0, 0, 0, 0, 0, 0, 0
"44", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"45", 4.16, 1,    1762.07,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"47", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"46", 4.16, 1,    1762.07,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"48", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"49", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"50", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"05", 4.16, 3,    2536.23,   91.7,     1.056, 0, 0, 0, 0, 0, 0, 0, 0
"51", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"151", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"53", 4.16, 1,    1158.04,  -38.1,   0.48216, 2,    2967.52, -158.4,    1.2356, 3,    2709.23,   99.5,     1.128
"54", 4.16, 1,    1082.88,  -39.1,   0.45086, 2,    2996.11, -158.8,    1.2475, 3,    2722.09,  100.0,    1.1334
"55", 4.16, 1,    1082.88,  -39.1,   0.45087, 2,    2996.11, -158.8,    1.2475, 3,    2722.09,  100.0,    1.1334
"57", 4.16, 1,    875.835,  -42.8,   0.36466, 2,    3050.79, -159.7,    1.2702, 3,    2760.69,  101.4,    1.1494
"56", 4.16, 1,    1082.88,  -39.1,   0.45087, 2,    2996.11, -158.8,    1.2475, 3,    2722.09,  100.0,    1.1334
"58", 4.16, 2,    3050.79, -159.7,    1.2702, 0, 0, 0, 0, 0, 0, 0, 0
"60", 4.16, 1,    462.253,  -61.8,   0.19246, 2,    3170.34, -161.5,      1.32, 3,    2848.81,  104.3,    1.1861
"59", 4.16, 2,    3050.79, -159.7,    1.2702, 0, 0, 0, 0, 0, 0, 0, 0
"06", 4.16, 3,    2536.23,   91.7,     1.056, 0, 0, 0, 0, 0, 0, 0, 0
"61", 4.16, 1,    462.253,  -61.8,   0.19246, 2,    3170.34, -161.5,      1.32, 3,    2848.81,  104.3,    1.1861
"68", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"72", 4.16, 1,    485.359,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"97", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"69", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"70", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"71", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"73", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"76", 4.16, 1,    485.359,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"74", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"75", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"77", 4.16, 1,    485.358,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"86", 4.16, 1,    485.359,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"78", 4.16, 1,    485.358,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"79", 4.16, 1,    485.358,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"12", 4.16, 2,    2692.57, -153.7,    1.1211, 0, 0, 0, 0, 0, 0, 0, 0
"80", 4.16, 1,    485.357,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"81", 4.16, 1,    485.357,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
"82", 4.16, 1,    485.357,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
"83", 4.16, 1,    485.357,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
"84", 4.16, 3,    2937.88,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"87", 4.16, 1,    485.359,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"88", 4.16, 1,    485.359,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"89", 4.16, 1,    485.358,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
"90", 4.16, 2,    3190.19, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"09", 4.16, 1,    1946.65,  -31.9,   0.81051, 0, 0, 0, 0, 0, 0, 0, 0
"91", 4.16, 1,    485.358,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
"92", 4.16, 3,    2937.88,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"93", 4.16, 1,    485.358,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
"94", 4.16, 1,    485.358,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"95", 4.16, 1,    485.358,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
"96", 4.16, 1,    485.358,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
